y,x1,x2
8.801988518,0.1,0
7.456406608,0.3,0
5.746882891,0.5,0
3.738802296,0.7,0
1.562537696,0.9,0
4.526007239,1.1,0
5.870864817,1.3,0
-1.371062479,1.5,0
8.23545001,1.7,0
9.706107561,1.9,0
6.596567266,2.1,0
6.927844426,2.3,0
5.195739291,2.5,0
2.060874209,2.7,0
7.070891896,2.9,0
4.26123625,3.1,0
5.414967719,3.3,0
7.158602609,3.5,0
9.152602952,3.7,0
6.65616287,3.9,0
8.783188151,4.1,0
12.29850776,4.3,0
8.722633376,4.5,0
8.67518731,4.7,0
11.27217901,4.9,0
8.349543045,5.1,0
10.59118264,5.3,0
12.3259813,5.5,0
13.27641513,5.7,0
5.999938572,5.9,0
12.20219781,6.1,0
9.713012485,6.3,0
8.423116064,6.5,0
14.34235594,6.7,0
11.39820249,6.9,0
13.98188219,7.1,0
11.43735982,7.3,0
15.78281764,7.5,0
14.87183243,7.7,0
15.69651685,7.9,0
11.34438891,8.1,0
10.3131542,8.3,0
11.23683262,8.5,0
16.52950381,8.7,0
10.67919525,8.9,0
13.44017334,9.1,0
14.41619514,9.3,0
10.14113442,9.5,0
12.53372086,9.7,0
10.9092379,9.9,0
15.02025601,0.1,1
11.61017726,0.3,1
10.99953135,0.5,1
11.96029027,0.7,1
14.7041905,0.9,1
11.06497441,1.1,1
7.063485953,1.3,1
13.82444871,1.5,1
10.9258994,1.7,1
11.54879108,1.9,1
10.32514748,2.1,1
8.448303106,2.3,1
10.66731359,2.5,1
7.068424798,2.7,1
8.98105224,2.9,1
7.046609311,3.1,1
7.312524522,3.3,1
10.52210018,3.5,1
1.645570272,3.7,1
6.757023833,3.9,1
3.957845304,4.1,1
5.111476372,4.3,1
3.174070252,4.5,1
1.878813471,4.7,1
4.116401179,4.9,1
2.110150142,5.1,1
1.844687234,5.3,1
3.841408087,5.5,1
3.560385299,5.7,1
2.433897917,5.9,1
-4.23477399,6.1,1
4.689283065,6.3,1
-0.262969891,6.5,1
-3.743937406,6.7,1
-3.800765398,6.9,1
-2.582305874,7.1,1
-0.515239431,7.3,1
-1.507020025,7.5,1
-3.775204946,7.7,1
-2.372738169,7.9,1
-4.241313122,8.1,1
-3.30257565,8.3,1
-3.356315023,8.5,1
-7.486659861,8.7,1
-4.515930964,8.9,1
-7.100071375,9.1,1
-6.805859944,9.3,1
-6.53787886,9.5,1
-9.458705477,9.7,1
-7.109818067,9.9,1
